wkt_geom	localityId	localityName	dataId	x	y	latitude	longitude	zone	altitude	horiz_precision	vert_precision	planeType	dip	dipAzimuth	strike	declination	unitId	timedate	notes
Point (739987.71018965996336192 4489161.6961310300976038)	cde4dee5e3fca07bb31721768c7528df	15I	fb288df645e7df22dd361e42c5c48618	739987.71018966	4489161.69613103	40.5184753	-6.16715181	29T	13.94171143	13.76124006	-1	Bedding	22.70998383	213.22203064	123.22203064	-0.25527954	Qtz	Fri Aug 30 11:41:59 2024	
Point (739977.06173187005333602 4489174.06290366034954786)	cde4dee5e3fca07bb31721768c7528df	15I	df64e2a0e5243fdf3a82e2f59dc063b9	739977.06173187	4489174.06290366	40.51858966	-6.16727268	29T	3.035084	4.74865153	-1	Bedding	26.13135147	209.81185913	119.81185913	-0.25527954	Qtz	Fri Aug 30 11:41:00 2024	
Point (739980.50005485001020133 4489178.11408510990440845)	cde4dee5e3fca07bb31721768c7528df	15I	a8b3b24aad384cda70b7313dccaa4a16	739980.50005485	4489178.11408511	40.51862511	-6.1672306	29T	4.61297984	2.81664535	-1	Bedding	30.42757034	197.20974731	107.20974731	-0.25527954	Qtz	Fri Aug 30 11:40:21 2024	
Point (740032.63879217999055982 4489159.09399871993809938)	e21d03760b731f1036f5a6232baf882f	15H	62ac6730ae3a9e1110fa8b32b570888a	740032.63879218	4489159.09399872	40.51843889	-6.16662307	29T	3	4.74865153	-1	Bedding	13.55627537	236.52603149	146.52603149	-0.25527954	Qtz	Fri Aug 30 11:35:17 2024	
Point (740028.00211815000511706 4489157.17947753984481096)	e21d03760b731f1036f5a6232baf882f	15H	f1416bec6492ecb909f088513c085083	740028.00211815	4489157.17947754	40.518423	-6.16667847	29T	4.02024841	5.12204827	-1	Bedding	7.7453928	231.62724304	141.62724304	-0.25527954	Qtz	Fri Aug 30 11:35:10 2024	
Point (740031.11052506999112666 4489159.57324348017573357)	e21d03760b731f1036f5a6232baf882f	15H	c5e7c8a9663f78921b175b0634e76d87	740031.11052507	4489159.57324348	40.51844364	-6.16664091	29T	4.29689378	6.70429795	-1	Bedding	7.18697262	241.96311951	151.96311951	-0.25527954	Qtz	Fri Aug 30 11:35:00 2024	
Point (740028.15239073999691755 4489159.37251222971826792)	e21d03760b731f1036f5a6232baf882f	15H	8235eb821b5eadcaed2a1daff2ddc50c	740028.15239074	4489159.37251223	40.51844269	-6.16667586	29T	5.42798758	13.71990201	-1	Bedding	9.53846073	229.42506409	139.42506409	-0.25527954	Qtz	Fri Aug 30 11:34:52 2024	
Point (740067.87854665995109826 4489132.59570863004773855)	9cea5b1f985d60075d2f37de7e2c8f46	15G	d978e4d2aa93c1fc4ba0361d4f149601	740067.87854666	4489132.59570863	40.51819026	-6.16621763	29T	3.69060106	4.74865153	-1	Bedding	18.44133568	232.54927063	142.54927063	-0.25527954	Qtz	Fri Aug 30 11:20:05 2024	
Point (740067.67469995003193617 4489132.66767892986536026)	9cea5b1f985d60075d2f37de7e2c8f46	15G	e2234536e7e16f32a3af09c201e87e54	740067.67469995	4489132.66767893	40.51819097	-6.16622	29T	5.37804127	6.0383275	-1	Bedding	19.0678196	252.16227722	162.16227722	-0.25527954	Qtz	Fri Aug 30 11:19:58 2024	
Point (740069.44660041003953665 4489129.54132653959095478)	9cea5b1f985d60075d2f37de7e2c8f46	15G	90da97402f7281024dad268c799da3e6	740069.44660041	4489129.54132654	40.51816232	-6.1662003	29T	3.60010211	4.74865152	-1	Bedding	17.88934898	237.85505676	147.85505676	-0.25527954	Qtz	Fri Aug 30 11:19:09 2024	
Point (740068.48372010001912713 4489131.981697260402143)	9cea5b1f985d60075d2f37de7e2c8f46	15G	0bfde0a180f5704678e1f0db67d9eb3d	740068.4837201	4489131.98169726	40.51818456	-6.16621073	29T	4.10731612	4.74865153	-1	Bedding	14.4944458	255.43986511	165.43986511	-0.25527954	Qtz	Fri Aug 30 11:18:57 2024	
Point (740055.1032550799427554 4489200.7045051297172904)	fbfa8ec03b2c489eed27e99555a8b416	108	12d6d99bd7ccdec60a42613d303d5c80	740055.10325508	4489200.70450513	40.5188068	-6.16634243	29T	5.45697971	4.74865153	-1	Bedding	23.03539085	223.27168274	133.27168274	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 11:03:48 2024	
Point (740113.01321787002962083 4489163.30035610962659121)	fbfa8ec03b2c489eed27e99555a8b416	108	a00b723f4aaeb7c28b6c6e8339e4058e	740113.01321787	4489163.30035611	40.51845348	-6.16567383	29T	4.39955204	4.74865153	-1	Bedding	26.00179863	252.47096252	162.47096252	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:52:38 2024	
Point (740113.26510064001195133 4489162.09801906999200583)	fbfa8ec03b2c489eed27e99555a8b416	108	b9b4dd0e6339f96d2335a3baaf6ec02f	740113.26510064	4489162.09801907	40.51844259	-6.16567132	29T	5.65731111	4.74865153	-1	Bedding	27.48921776	243.22631836	153.22631836	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:52:32 2024	
Point (740115.12299055000767112 4489162.73718904983252287)	fbfa8ec03b2c489eed27e99555a8b416	108	8f3f5eb0e80aa7f5598ac64bbbb73017	740115.12299055	4489162.73718905	40.5184478	-6.16564917	29T	5.68791429	4.74865153	-1	Bedding	33.009655	238.8850708	148.8850708	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:52:25 2024	
Point (740114.18082838004920632 4489161.6027956698089838)	fbfa8ec03b2c489eed27e99555a8b416	108	fbf45287f5b15f4e3627c081fa57cd00	740114.18082838	4489161.60279567	40.51843787	-6.16566071	29T	5.61734403	4.63412012	-1	Bedding	26.50905609	256.20950317	166.20950317	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:52:19 2024	
Point (740165.87995226995553821 4489086.22193538025021553)	e247633dfb5c997951cb3dac8bce0b70	15F	744942db5ffa6016b29e85478a151dc8	740165.87995227	4489086.22193538	40.51774463	-6.16507975	29T	3.2514741	4.74865153	-1	Bedding	27.63520432	255.43824768	165.43824768	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:44:43 2024	
Point (740167.45455131004564464 4489083.30968074966222048)	e247633dfb5c997951cb3dac8bce0b70	15F	c70602bf76de098f9c1a9d416fa949b3	740167.45455131	4489083.30968075	40.51771797	-6.16506229	29T	3	4.74865153	-1	Bedding	20.23158836	238.60827637	148.60827637	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:44:28 2024	
Point (740166.54337164002936333 4489082.66520186979323626)	e247633dfb5c997951cb3dac8bce0b70	15F	99d541459571a7f43ef17b46f342b75b	740166.54337164	4489082.66520187	40.51771243	-6.16507327	29T	5.67622904	4.74865153	-1	Bedding	30.61622429	243.01869202	153.01869202	-0.25527954	Qtz+Ss+Ms	Fri Aug 30 10:44:09 2024	
Point (740062.12006276997271925 4487986.01547505985945463)	fb2a9c92b9a26d2f56be3fbcd14a21d9	12D	ec77d561ede4f9fb667df4df1b43b5dd	740062.12006277	4487986.01547506	40.50787504	-6.16672015	29T	3	2.16599113	-1	Bedding	12.53175545	30.72641563	300.72640991	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:19:53 2024	
Point (740135.76960980996955186 4488007.53488020040094852)	fb2a9c92b9a26d2f56be3fbcd14a21d9	12D	c79656e1e23b52aeff1c0e65597ea5aa	740135.76960981	4488007.5348802	40.50804737	-6.16584377	29T	3	4.62581372	-1	Bedding	11.80530262	32.2338028	302.23379517	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:14:01 2024	
Point (740212.8569245400140062 4488049.99078983999788761)	2817e433acfa6d76a6b7955199693f53	12C	69e2ea74c155099e5522c23b5c7fcaec	740212.85692454	4488049.99078984	40.50840707	-6.16491892	29T	4.00315027	4.74865152	-1	Bedding	12.90749454	5.04230022	275.04229736	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:08:05 2024	
Point (740210.00597954995464534 4488049.88554302044212818)	2817e433acfa6d76a6b7955199693f53	12C	5693177b4f0cef9e94dc71a815fa97f6	740210.00597955	4488049.88554302	40.50840695	-6.16495257	29T	3.43315747	4.74865153	-1	Bedding	22.3878479	3.16553831	273.16552734	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:06:40 2024	
Point (740208.63483124994672835 4488050.90054374001920223)	2817e433acfa6d76a6b7955199693f53	12C	4ca33a22f52e702999d8d903ea225895	740208.63483125	4488050.90054374	40.50841648	-6.16496835	29T	3.18439511	4.74865153	-1	Bedding	20.85937119	4.50187206	274.50186157	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:06:18 2024	
Point (740208.81610231997910887 4488050.23228225018829107)	2817e433acfa6d76a6b7955199693f53	12C	fc33393c47debcd47d85d3c5fadf0241	740208.81610232	4488050.23228225	40.50841042	-6.16496646	29T	6.93663246	4.74865153	-1	Bedding	16.04880905	8.43327427	278.43328857	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 09:06:10 2024	
Point (740391.21422144002281129 4488202.26607611030340195)	434166574aae63057b6a5f512741ed3a	12B	ac879fc49ce8afb1d18531554e13d3cd	740391.21422144	4488202.26607611	40.50972559	-6.16275854	29T	3	4.74865153	-1	Bedding	14.4576683	269.9928894	179.9928894	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 08:52:58 2024	
Point (740391.85751290002372116 4488201.05707221012562513)	434166574aae63057b6a5f512741ed3a	12B	a464d5229bd1ac167df5bb886bb5fd14	740391.8575129	4488201.05707221	40.50971453	-6.16275141	29T	5.93453351	4.74865153	-1	Bedding	11.81566429	271.07687378	181.07687378	-0.25527954	Qtz+Ss+Ms	Mon Aug 26 08:51:52 2024	
